genes	log2FoldChange	pvalue	padj	mean_Baseline	mean_C3D1
LIPA	2.7327301054844	5.52562671376578e-11	7.81985107903568e-07	2036.51615099775	13540.2543646105
LPXN	2.50672577941719	6.22139770330124e-10	2.64222417635701e-06	160.228413431861	913.020373123884
GZMK	4.37259354261247	1.35738382679551e-09	4.22146370133404e-06	52.33390173608	1085.38790406747
LYZ	4.13062678138669	3.90293579786418e-09	8.34107382436427e-06	2826.91119529927	49521.9854268666
SLAMF7	2.87240031561503	4.02302596030431e-09	8.34107382436427e-06	331.405285609253	2423.95841525721
P2RX7	2.44119194907822	6.28001178972553e-09	1.17185019996278e-05	183.63462778384	1003.02863562729
ADAMDEC1	4.08054150693258	1.04631376249362e-08	1.39458677200936e-05	236.040263607508	3989.98480476554
MSR1	3.06851343796074	1.55092360651873e-08	1.70236673515526e-05	863.388774014425	7248.65718902576
CREBL2	1.49985121881023	2.01135860831441e-08	1.99892158457755e-05	1026.60456299162	2901.6376494066
ADA2	2.97969562213894	2.71553084144771e-08	2.13053256621968e-05	451.243371025161	3560.08834747721
AOAH	2.86653621545285	2.68486315156e-08	2.13053256621968e-05	192.482757723505	1402.42811655863
CD96	2.96099154111816	2.56494300924829e-08	2.13053256621968e-05	116.453403359051	906.437675684064
ASAH1	1.81121051601275	3.233615255869e-08	2.41357042698062e-05	2641.58971762836	9266.53259670417
GZMH	3.49712843865653	3.68050109454146e-08	2.55712211102547e-05	29.2576913489066	328.478156351134
HLA-DQA1	3.27237125858206	4.56208687666173e-08	2.93546693512096e-05	1410.10279797491	13629.9438596478
RGS1	3.14104431858855	4.7573489869127e-08	2.9590710698597e-05	446.006274127856	3939.30892585028
PSAP	1.67864775104125	5.88811805230465e-08	3.54426718890338e-05	13845.9153426002	44323.3048800837
CD86	2.64521651030491	6.19556994696356e-08	3.61279172532313e-05	238.829552196205	1500.37979258764
CD84	3.08857140893278	6.39216138401148e-08	3.61447670986831e-05	519.221041967694	4420.61993602104
MS4A7	2.6991886823692	7.57933474092748e-08	4.15971724310902e-05	387.693451577157	2519.57859303434
PTPN22	2.49398388135686	9.22512151275184e-08	4.91830764079855e-05	134.54419903592	753.938846623394
GPR155	1.81582622290568	1.01461411278863e-07	5.25908315128773e-05	329.031950357182	1161.91714273458
KLRK1	3.28410464308454	1.07179992862519e-07	5.40534774814758e-05	62.7644145630628	611.01598036983
HLA-DMB	2.81689958086913	1.16666880273306e-07	5.44250996474971e-05	494.899477869427	3489.75662503609
DOCK11	1.76526800203567	1.43243305806303e-07	6.07481837805822e-05	574.442166758542	1954.37431429435
PDCD1LG2	2.70578973304444	1.48346594609547e-07	6.1514387898092e-05	92.9531637815195	610.435988227065
C3AR1	2.73818498763894	1.75688504326478e-07	6.83279267943761e-05	196.070675667676	1312.68298230638
ARHGAP18	1.50730534949437	2.21846417796447e-07	7.6660262149661e-05	669.339184605292	1897.88054552031
ARHGDIB	1.95653201065553	2.68424212381654e-07	8.46171540861916e-05	782.248821329956	3040.27184255747
FCGR1A	2.84559671969463	2.6982406843513e-07	8.46171540861916e-05	134.352162942149	970.009962635279
CD3D	3.07087706244837	3.13893770422679e-07	9.44718992917288e-05	56.7841401714523	479.700769347536
CPVL	2.87899665783631	3.36414492059128e-07	9.96427686003704e-05	370.701168274717	2730.32637577799
IGKV2-30	5.15934870204852	3.50464373500235e-07	0.000100104685273724	75.3475886050388	2682.3482680938
TRAC	2.90847299094541	3.4454623912302e-07	0.000100104685273724	104.59104218906	789.160071820668
CCR5	2.97772953885084	3.87080815778414e-07	0.000104680116267032	142.538034348027	1128.28089813668
LILRB4	3.09052050349974	4.26516761900092e-07	0.000110538927459107	138.827193489692	1186.72597347921
MS4A6A	2.78486498680607	4.39756770839867e-07	0.000112409059505095	492.352842303023	3397.32814041408
VSIG4	2.98494749108008	4.67504820176161e-07	0.000116315199259829	239.594245595974	1900.4389842944
ABCB6	-1.88899989932026	5.16450312724026e-07	0.000125155361499095	402.683296111467	108.97714594353
GIMAP4	2.36923469009555	5.49344280004824e-07	0.000128134553311125	281.211408518365	1458.28613595623
HLA-DOA	2.99695934456771	5.60076701469958e-07	0.00012902507715345	358.480996739068	2865.93148556868
TNFSF13B	2.4966601936035	5.88534927750011e-07	0.00013392758233921	196.392322322863	1110.46051058645
TLR4	2.48826885554818	6.13987613862287e-07	0.000138036251502052	656.993348010419	3688.5461517767
C1orf162	2.58579583431111	6.34451980024316e-07	0.000140938975562544	71.2849057598063	432.091387885624
PILRA	2.52600271846091	6.48396562876404e-07	0.000142342116038514	37.5369510014109	215.403406252793
GGTA1	2.53102286414453	6.99213890651684e-07	0.000151713153483261	86.4451727457215	503.853220131457
PLXDC2	1.8401754916029	7.59480198190926e-07	0.000161044323843667	2303.09934462359	8247.97749132877
CD48	2.87858922404871	7.82584502448623e-07	0.000164078952985295	164.811165106508	1211.17942741844
SPOCK2	3.18909390237756	8.20755085360229e-07	0.000166470542313281	462.902831394979	1567.39082420852
CD53	2.60320300010614	8.6012505653214e-07	0.000172579930697739	528.242792079228	3213.77473485899
HLA-DRA	2.75991016136899	8.92373966019075e-07	0.000173856745354085	8089.32763780034	54796.9271521107
LGMN	1.63557017205426	9.13074010970004e-07	0.000173856745354085	1796.78248348852	5586.3926521348
MPEG1	2.65631389483298	9.08987242674373e-07	0.000173856745354085	699.368573410157	4410.85502384056
IGSF6	2.96216214252776	1.00388253589047e-06	0.000187217117180147	277.318132460444	2160.97841949724
CCL4	2.80309860889949	1.07325139550246e-06	0.000188932745661093	118.388567183504	831.058312948461
CXCR6	2.84333019396418	1.0722269205511e-06	0.000188932745661093	68.5117513507012	493.148832951219
FUCA1	2.10416652482023	1.04903842086929e-06	0.000188932745661093	733.449457637771	3142.79192037869
FGL2	2.68874969458957	1.09885698519214e-06	0.000191632442464349	939.057621274116	6056.85090816973
EVI2A	2.6069510099586	1.26579967479177e-06	0.000216695614051508	216.211130166163	1320.11376599099
NCKAP1L	2.45067222086245	1.43660980811185e-06	0.000231096026029028	627.886048902518	3434.78741227104
SFMBT2	1.93832400385192	1.45988505382514e-06	0.000232832949610061	272.359838507579	1045.02189284961
HLA-DPA1	2.67058199816765	1.51218943941636e-06	0.000238536186508248	2423.86650083283	15436.750068243
MPP1	1.7895226634322	1.52121147880394e-06	0.000238536186508248	218.990740552491	759.82029797946
ST3GAL5	1.85363111708266	1.53604648933837e-06	0.000238855229092116	112.078201551408	405.145379244758
RGS2	2.30047054086465	1.7483158662768e-06	0.000267406344792829	487.599377141006	2398.18881786046
